"Timestamp","Total score","Consent to Participate","Consent to Participate [Score]","Consent to Participate [Feedback]","Which session are you completing this post-session questionnaire for?","Which session are you completing this post-session questionnaire for? [Score]","Which session are you completing this post-session questionnaire for? [Feedback]","Please create a unique participant code using the following format: 
last 2 digits of phone number + birth month + first letter of mother's first name (e.g., 45 + 07 + C → 4507C). 
Use the same code in all questionnaires.","Please create a unique participant code using the following format: 
last 2 digits of phone number + birth month + first letter of mother's first name (e.g., 45 + 07 + C → 4507C). 
Use the same code in all questionnaires. [Score]","Please create a unique participant code using the following format: 
last 2 digits of phone number + birth month + first letter of mother's first name (e.g., 45 + 07 + C → 4507C). 
Use the same code in all questionnaires. [Feedback]","1. After this workshop, how familiar do you feel with fuzz testing?","1. After this workshop, how familiar do you feel with fuzz testing? [Score]","1. After this workshop, how familiar do you feel with fuzz testing? [Feedback]","2. After this workshop, how familiar do you feel with grammar-based fuzzing?","2. After this workshop, how familiar do you feel with grammar-based fuzzing? [Score]","2. After this workshop, how familiar do you feel with grammar-based fuzzing? [Feedback]","3. I feel confident using command-line tools for software testing tasks.","3. I feel confident using command-line tools for software testing tasks. [Score]","3. I feel confident using command-line tools for software testing tasks. [Feedback]","4. I understand how unexpected or edge-case inputs can reveal hidden software bugs.","4. I understand how unexpected or edge-case inputs can reveal hidden software bugs. [Score]","4. I understand how unexpected or edge-case inputs can reveal hidden software bugs. [Feedback]","5. I understand how automated testing tools can generate many different test inputs.","5. I understand how automated testing tools can generate many different test inputs. [Score]","5. I understand how automated testing tools can generate many different test inputs. [Feedback]","6. I feel confident interpreting software crashes and exceptions.","6. I feel confident interpreting software crashes and exceptions. [Score]","6. I feel confident interpreting software crashes and exceptions. [Feedback]","7. I understand the difference between random fuzzing and grammar-based fuzzing.","7. I understand the difference between random fuzzing and grammar-based fuzzing. [Score]","7. I understand the difference between random fuzzing and grammar-based fuzzing. [Feedback]","8. Which statement best describes grammar-based fuzzing?","8. Which statement best describes grammar-based fuzzing? [Score]","8. Which statement best describes grammar-based fuzzing? [Feedback]","9. Please indicate your level of agreement with the following statements: [I understand the basic concepts of grammar-based fuzz testing.]","9. Please indicate your level of agreement with the following statements: [I understand the basic concepts of grammar-based fuzz testing.] [Score]","9. Please indicate your level of agreement with the following statements: [I feel confident using command-line fuzzing tools.]","9. Please indicate your level of agreement with the following statements: [I feel confident using command-line fuzzing tools.] [Score]","9. Please indicate your level of agreement with the following statements: [I understand how grammars can generate structured test inputs.]","9. Please indicate your level of agreement with the following statements: [I understand how grammars can generate structured test inputs.] [Score]","9. Please indicate your level of agreement with the following statements: [I feel confident reproducing and analyzing software crashes.]","9. Please indicate your level of agreement with the following statements: [I feel confident reproducing and analyzing software crashes.] [Score]","10. Please indicate your level of agreement with the following statements: [The workshop helped me understand fuzz testing concepts.]","10. Please indicate your level of agreement with the following statements: [The workshop helped me understand fuzz testing concepts.] [Score]","10. Please indicate your level of agreement with the following statements: [I better understand the difference between random fuzzing and grammar-based fuzzing.]","10. Please indicate your level of agreement with the following statements: [I better understand the difference between random fuzzing and grammar-based fuzzing.] [Score]","10. Please indicate your level of agreement with the following statements: [The activity improved my understanding of edge-case software testing.]","10. Please indicate your level of agreement with the following statements: [The activity improved my understanding of edge-case software testing.] [Score]","10. Please indicate your level of agreement with the following statements: [The crash demonstration improved my understanding of software failures.]","10. Please indicate your level of agreement with the following statements: [The crash demonstration improved my understanding of software failures.] [Score]","10. Please indicate your level of agreement with the following statements: [The workshop improved my overall understanding of automated software testing concepts.]","10. Please indicate your level of agreement with the following statements: [The workshop improved my overall understanding of automated software testing concepts.] [Score]","11. Please indicate your level of agreement with the following statements: [The workshop was engaging.]","11. Please indicate your level of agreement with the following statements: [The workshop was engaging.] [Score]","11. Please indicate your level of agreement with the following statements: [The workshop increased my motivation to learn software testing.]","11. Please indicate your level of agreement with the following statements: [The workshop increased my motivation to learn software testing.] [Score]","11. Please indicate your level of agreement with the following statements: [I prefer interactive workshops over traditional lecture-only sessions.]","11. Please indicate your level of agreement with the following statements: [I prefer interactive workshops over traditional lecture-only sessions.] [Score]","12. Please indicate your level of agreement with the following statements: [The Fandango commands were easy to follow.]","12. Please indicate your level of agreement with the following statements: [The Fandango commands were easy to follow.] [Score]","12. Please indicate your level of agreement with the following statements: [The workshop instructions were clear and understandable.]","12. Please indicate your level of agreement with the following statements: [The workshop instructions were clear and understandable.] [Score]","13. Please indicate your level of agreement with the following statements: [The workshop required significant mental effort.]","13. Please indicate your level of agreement with the following statements: [The workshop required significant mental effort.] [Score]","13. Please indicate your level of agreement with the following statements: [I found some parts of the workshop confusing.]","13. Please indicate your level of agreement with the following statements: [I found some parts of the workshop confusing.] [Score]","13. Please indicate your level of agreement with the following statements: [The overall difficulty level was appropriate.]","13. Please indicate your level of agreement with the following statements: [The overall difficulty level was appropriate.] [Score]","14. What helped you the most in learning during this workshop?","14. What helped you the most in learning during this workshop? [Score]","14. What helped you the most in learning during this workshop? [Feedback]","15. What was the most difficult part of the workshop?","15. What was the most difficult part of the workshop? [Score]","15. What was the most difficult part of the workshop? [Feedback]","16. What would you improve in this workshop?","16. What would you improve in this workshop? [Score]","16. What would you improve in this workshop? [Feedback]","17. Which concept did you find most difficult to understand, and why?","17. Which concept did you find most difficult to understand, and why? [Score]","17. Which concept did you find most difficult to understand, and why? [Feedback]"
"2026/05/25 3:30:25 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","Fandango Workshop","-- / 0","","9709C","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0","","4","-- / 0","4","-- / 0","5 (Strongly agree)","-- / 0","5 (Strongly agree)","-- / 0","4","-- / 0","5 (Strongly agree)","-- / 0","4","-- / 0","4","-- / 0","5 (Strongly agree)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","2","-- / 0","1 (Strongly disagree)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","4","-- / 0","3 (Neutral)","-- / 0","The fandango tool","-- / 0","","Installing","-- / 0","","Install instructions and compatibility","-- / 0","","Grammar based fuzzing","-- / 0",""
"2026/05/25 3:31:24 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","Fandango Workshop","-- / 0","","2207M","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","4","-- / 0","","3","-- / 0","","3","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0","","3 (Neutral)","-- / 0","4","-- / 0","4","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","4","-- / 0","4","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","4","-- / 0","5 (Strongly agree)","-- / 0","5 (Strongly agree)","-- / 0","3 (Neutral)","-- / 0","2","-- / 0","4","-- / 0","The explanations given","-- / 0","","Understanding new concepts","-- / 0","","Engasgamento","-- / 0","","Fuzzing","-- / 0",""
"2026/05/25 3:31:27 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","Fandango Workshop","-- / 0","","4008A","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","4","-- / 0","","4","-- / 0","","5","-- / 0","","3","-- / 0","","It generates only random meaningless bytes","0.00 / 0","","4","-- / 0","4","-- / 0","3 (Neutral)","-- / 0","4","-- / 0","2","-- / 0","4","-- / 0","4","-- / 0","3 (Neutral)","-- / 0","4","-- / 0","4","-- / 0","5 (Strongly agree)","-- / 0","5 (Strongly agree)","-- / 0","5 (Strongly agree)","-- / 0","4","-- / 0","4","-- / 0","5 (Strongly agree)","-- / 0","4","-- / 0","the powerpoints ","-- / 0","","analysis of the outputs ","-- / 0","","it needs to be more motivational, witch means more “visual”","-- / 0","","the parte of why we need to generated a input for a temporary file ","-- / 0",""
"2026/05/25 3:31:28 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","Fandango Workshop","-- / 0","","2707I","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0","","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","Learning what is the Fuzz","-- / 0","","Nothing","-- / 0","","Nothing","-- / 0","","Nothing","-- / 0",""
"2026/05/25 3:31:39 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","Fandango Workshop","-- / 0","","7012M","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0","","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","the activity ","-- / 0","","understanding some errors","-- / 0","","the interaction between the teacher and the students","-- / 0","","understanding some errors","-- / 0",""
"2026/05/25 3:31:47 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","Fandango Workshop","-- / 0","","4309A","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","3","-- / 0","","5","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0","","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","5 (Strongly agree)","-- / 0","4","-- / 0","4","-- / 0","Learning about these concepts and actually applying them.","-- / 0","","Setting up the environment","-- / 0","","Giving us the requirements and environment beforehand would make it easier to set up","-- / 0","","None, just understanding it at the beginning, then it was good","-- / 0",""
"2026/05/25 3:32:37 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","Fandango Workshop","-- / 0","","1824A","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","5","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0","","4","-- / 0","4","-- / 0","5 (Strongly agree)","-- / 0","4","-- / 0","5 (Strongly agree)","-- / 0","5 (Strongly agree)","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","5 (Strongly agree)","-- / 0","5 (Strongly agree)","-- / 0","5 (Strongly agree)","-- / 0","5 (Strongly agree)","-- / 0","5 (Strongly agree)","-- / 0","2","-- / 0","1 (Strongly disagree)","-- / 0","4","-- / 0","The easy to follow steps helped doing the activity and understand the concepts","-- / 0",""," ","-- / 0","","Maybe try to add an extra exercise that try to simulate a more realistic and complex working scenario","-- / 0",""," ","-- / 0",""
"2026/05/25 3:33:06 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","Fandango Workshop","-- / 0","","5512A","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","3","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0","","4","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","4","-- / 0","3 (Neutral)","-- / 0","the presentation","-- / 0","","the part of the code, understanding it was not easy at first","-- / 0","","probably turning the part of the code more interactive","-- / 0","",". ","-- / 0",""
"2026/05/25 3:33:24 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","Fandango Workshop","-- / 0","","8305J","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0","","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","3 (Neutral)","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","Doing the exercises","-- / 0","","Execute the command due to version of python","-- / 0","","More pratical in more hours ","-- / 0","","Not really ","-- / 0",""
"2026/05/25 3:33:58 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","Fandango Workshop","-- / 0","","6012L","-- / 0","","3","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","4","-- / 0","","3","-- / 0","","4","-- / 0","","It generates only random meaningless bytes","0.00 / 0","","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","3 (Neutral)","-- / 0","5 (Strongly agree)","-- / 0","4","-- / 0","4","-- / 0","2","-- / 0","2","-- / 0","5 (Strongly agree)","-- / 0","Well organizes ""phases""","-- / 0","","None in particulae","-- / 0","","I liked it how it was","-- / 0","","Crash demonstration","-- / 0",""
